# Les vingt-quatre termes solaires (二十四节气) : une ligne par terme.
#
# Écrit par `uv run wenlu saisons calendrier` : ne pas éditer à la main.
# Source : instants des termes calculés hors ligne par la bibliothèque
# lunar_python 1.4.8 (MIT, https://github.com/6tail/lunar-python), à l'heure
# de Pékin (UTC+8), comme le calendrier chinois les compte. Contrôlés par les tests
# contre des dates connues : 秋分 2026-09-23, 冬至 2026-12-22, 立春 2027-02-04.
#
# `debut` : le jour où le terme commence ; `heure` : l'instant exact, à Pékin ;
# `fin` : le jour où commence le terme suivant. Un terme court de `debut` à la veille
# de `fin`. La première ligne est le 冬至 de 2025, qui couvre les premiers jours de
# 2026 : chaque jour de 2026 à 2035 a son terme.
#
terme	nom	debut	heure	fin	source
qingming	清明	2032-04-04	13:17:36	2032-04-19	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2032-04-19	20:14:10	2032-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2032-05-05	06:25:52	2032-05-20	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2032-05-20	19:15:00	2032-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2032-06-05	10:27:59	2032-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2032-06-21	03:08:46	2032-07-06	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2032-07-06	20:40:54	2032-07-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2032-07-22	14:04:45	2032-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2032-08-07	06:32:44	2032-08-22	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2032-08-22	21:18:21	2032-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2032-09-07	09:37:55	2032-09-22	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2032-09-22	19:10:55	2032-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2032-10-08	01:30:25	2032-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2032-10-23	04:46:15	2032-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2032-11-07	04:54:17	2032-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2032-11-22	02:31:12	2032-12-06	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2032-12-06	21:53:20	2032-12-21	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2032-12-21	15:55:57	2033-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2033-01-05	09:08:07	2033-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2033-01-20	02:32:48	2033-02-03	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2033-02-03	20:41:36	2033-02-18	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2033-02-18	16:33:50	2033-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2033-03-05	14:32:22	2033-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2033-03-20	15:22:45	2033-04-04	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2033-04-04	19:08:09	2033-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2033-04-20	02:13:08	2033-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2033-05-05	12:13:47	2033-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2033-05-21	01:10:59	2033-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2033-06-05	16:13:27	2033-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2033-06-21	09:01:09	2033-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2033-07-07	02:24:57	2033-07-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2033-07-22	19:52:49	2033-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2033-08-07	12:15:46	2033-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2033-08-23	03:01:51	2033-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2033-09-07	15:20:22	2033-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2033-09-23	00:51:41	2033-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2033-10-08	07:13:57	2033-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2033-10-23	10:27:37	2033-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2033-11-07	10:41:05	2033-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2033-11-22	08:16:11	2033-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2033-12-07	03:44:56	2033-12-21	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2033-12-21	21:46:01	2034-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2034-01-05	15:04:31	2034-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2034-01-20	08:27:19	2034-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2034-02-04	02:41:10	2034-02-18	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2034-02-18	22:30:13	2034-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2034-03-05	20:32:24	2034-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2034-03-20	21:17:30	2034-04-05	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2034-04-05	01:06:15	2034-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2034-04-20	08:03:44	2034-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2034-05-05	18:09:10	2034-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2034-05-21	06:56:54	2034-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2034-06-05	22:06:41	2034-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2034-06-21	14:44:12	2034-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2034-07-07	08:17:39	2034-07-23	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2034-07-23	01:36:21	2034-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2034-08-07	18:09:07	2034-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2034-08-23	08:47:46	2034-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2034-09-07	21:13:59	2034-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2034-09-23	06:39:35	2034-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2034-10-08	13:07:07	2034-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2034-10-23	16:16:28	2034-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2034-11-07	16:33:40	2034-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2034-11-22	14:04:58	2034-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2034-12-07	09:36:49	2034-12-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2034-12-22	03:34:01	2035-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2035-01-05	20:55:43	2035-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2035-01-20	14:14:16	2035-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2035-02-04	08:31:35	2035-02-19	lunar_python 1.4.8, Lunar.getNextJieQi()
